microseconds,logic0,logic1,Trigger
6471,1,0,0
122186,0,1,0
230418,1,0,0
344765,0,1,0
452725,1,0,0
566349,0,1,0
673971,1,0,0
789098,0,1,0
896931,1,0,0
1012378,0,1,0
1121240,1,0,0
1236571,0,1,0
1345281,1,0,0
1460940,0,1,0
1568704,1,0,0
1684190,0,1,0
1792990,1,0,0
1908595,0,1,0
2016816,1,0,0
2132794,0,1,0
2240831,1,0,0
2355569,0,1,0
2464173,1,0,0
2579520,0,1,0
2688319,1,0,0
2804222,0,1,0
2913072,1,0,0
3028682,0,1,0
3137270,1,0,0
3252464,0,1,0
3360797,1,0,0
3475971,0,1,0
3584043,1,0,0
3699640,0,1,0
3807894,1,0,0
3923601,0,1,0
4031571,1,0,0
4146651,0,1,0
4254660,1,0,0
4370536,0,1,0
4479155,1,0,0
4594556,0,1,0
4703784,1,0,0
4819009,0,1,0
4927801,1,0,0
5043565,0,1,0
5152465,1,0,0
5267674,0,1,0
5375659,1,0,0
5490656,0,1,0
5599424,1,0,0
5714874,0,1,0
5823508,1,0,0
5939017,0,1,0
6047612,1,0,0
6162893,0,1,0
6271817,1,0,0
6386825,0,1,0
6496088,1,0,0
6611691,0,1,0
6720189,1,0,0
6835754,0,1,0
6944078,1,0,0
7059298,0,1,0
7167754,1,0,0
7282593,0,1,0
7391318,1,0,0
7507052,0,1,0
7616008,1,0,0
7731683,0,1,0
7840748,1,0,0
7956213,0,1,0
8064265,1,0,0
8179632,0,1,0
8287917,1,0,0
8403021,0,1,0
8511988,1,0,0
8626803,0,1,0
8735161,1,0,0
8850704,0,1,0
8959212,1,0,0
9074502,0,1,0
9183413,1,0,0
9298986,0,1,0
9407439,1,0,0
9522460,0,1,0
9630608,1,0,0
9745269,0,1,0
9853948,1,0,0
9970078,0,1,0
10078449,1,0,0
10194008,0,1,0
10302877,1,0,0
10417190,0,1,0
10537715,1,0,0
10651956,0,1,0
10760020,1,0,0
10874867,0,1,0
10983460,1,0,0
11098763,0,1,0
11207155,1,0,0
11322896,0,1,0
11431665,1,0,0
11546699,0,1,0
11655331,1,0,0
11770234,0,1,0
11878732,1,0,0
11993860,0,1,0
12102592,1,0,0
12218101,0,1,0
12326817,1,0,0
12442225,0,1,0
12550994,1,0,0
12666523,0,1,0
12774833,1,0,0
12889500,0,1,0
12998232,1,0,0
13113741,0,1,0
13222199,1,0,0
13337709,0,1,0
13446034,1,0,0
13561446,0,1,0
13669660,1,0,0
13785014,0,1,0
13893247,1,0,0
14008790,0,1,0
14116890,1,0,0
14232394,0,1,0
14340720,1,0,0
14456494,0,1,0
14565243,1,0,0
14680420,0,1,0
14789248,1,0,0
14904845,0,1,0
15013017,1,0,0
15127822,0,1,0
15236012,1,0,0
15351975,0,1,0
15460776,1,0,0
15576220,0,1,0
15685006,1,0,0
15799995,0,1,0
15908681,1,0,0
16023536,0,1,0
16131647,1,0,0
16247018,0,1,0
16355782,1,0,0
16471098,0,1,0
16579498,1,0,0
16695689,0,1,0
16803740,1,0,0
16919093,0,1,0
17027876,1,0,0
17143754,0,1,0
17251985,1,0,0
17367369,0,1,0
17475998,1,0,0
17590872,0,1,0
17699252,1,0,0
17814735,0,1,0
17923169,1,0,0
18037684,0,1,0
18146713,1,0,0
18261832,0,1,0
18370703,1,0,0
18486548,0,1,0
18595119,1,0,0
18710447,0,1,0
18818479,1,0,0
18933465,0,1,0
19041789,1,0,0
19157441,0,1,0
19266028,1,0,0
19381780,0,1,0
19490073,1,0,0
19605366,0,1,0
19713611,1,0,0
19828884,0,1,0
19937623,1,0,0
20053024,0,1,0
20161837,1,0,0
20277354,0,1,0
20385440,1,0,0
20500293,0,1,0
20609072,1,0,0
20723881,0,1,0
20832242,1,0,0
20947205,0,1,0
21055713,1,0,0
21171440,0,1,0
21279509,1,0,0
21394890,0,1,0
21502997,1,0,0
21618171,0,1,0
21726617,1,0,0
21842419,0,1,0
21950834,1,0,0
22066899,0,1,0
22174796,1,0,0
22290291,0,1,0
22398382,1,0,0
22513608,0,1,0
22622367,1,0,0
22737670,0,1,0
22845891,1,0,0
22961419,0,1,0
23069738,1,0,0
23185192,0,1,0
23293376,1,0,0
23408354,0,1,0
23516995,1,0,0
23632357,0,1,0
23741149,1,0,0
23856010,0,1,0
23964233,1,0,0
24079249,0,1,0
24186972,1,0,0
24300902,0,1,0
24408875,1,0,0
24523970,0,1,0
24632225,1,0,0
24746557,0,1,0
24854312,1,0,0
24968722,0,1,0
25076483,1,0,0
25190979,0,1,0
25299314,1,0,0
25414976,0,1,0
25523100,1,0,0
25638265,0,1,0
25747038,1,0,0
25861974,0,1,0
25969965,1,0,0
26085914,0,1,0
26194262,1,0,0
26310097,0,1,0
26418556,1,0,0
26533553,0,1,0
26641562,1,0,0
26756532,0,1,0
26865458,1,0,0
26980262,0,1,0
27088740,1,0,0
27204116,0,1,0
27312752,1,0,0
27427860,0,1,0
27536207,1,0,0
27651244,0,1,0
27759305,1,0,0
27873273,0,1,0
27980530,1,0,0
28095148,0,1,0
28203283,1,0,0
28317729,0,1,0
28426076,1,0,0
28540934,0,1,0
28649549,1,0,0
28764583,0,1,0
28873103,1,0,0
28988667,0,1,0
