microseconds,logic0,logic1,Trigger
21469,1,0,
138705,0,0,
251813,1,0,
368896,0,0,
482082,1,0,
598687,0,0,
708610,1,0,
825673,0,0,
938650,1,0,
1055491,0,0,
1168234,1,0,
1285396,0,0,
1398273,1,0,
1514713,0,0,
1625017,1,0,
1740977,0,0,
1853893,1,0,
1970735,0,0,
2083492,1,0,
2198867,0,0,
2308128,1,0,
2424032,0,0,
2536018,1,0,
2652621,0,0,
2765312,1,0,
2881290,0,0,
2991197,1,0,
3108431,0,0,
3221406,1,0,
3338240,0,0,
3450530,1,0,
3566928,0,0,
3676031,1,0,
3792720,0,0,
3905139,1,0,
4021066,0,0,
4134056,1,0,
4251084,0,0,
4359334,1,0,
4475750,0,0,
4588702,1,0,
4705640,0,0,
4818591,1,0,
4934933,0,0,
5047430,1,0,
5164976,0,0,
5274190,1,0,
5391378,0,0,
5504065,1,0,
5621412,0,0,
5734198,1,0,
5851182,0,0,
5963813,1,0,
6080942,0,0,
6190676,1,0,
6307265,0,0,
6419913,1,0,
6536992,0,0,
6650099,1,0,
6766895,0,0,
6879585,1,0,
6996481,0,0,
7107130,1,0,
7224236,0,0,
7337185,1,0,
7454026,0,0,
7566613,1,0,
7683815,0,0,
7797147,1,0,
7914288,0,0,
8023676,1,0,
8140362,0,0,
8253124,1,0,
8369637,0,0,
8482364,1,0,
8599315,0,0,
8708177,1,0,
8825300,0,0,
8938061,1,0,
9054131,0,0,
9167108,1,0,
9284059,0,0,
9396859,1,0,
9514185,0,0,
9623101,1,0,
9739959,0,0,
9852704,1,0,
9969842,0,0,
10082856,1,0,
10199619,0,0,
10308462,1,0,
10425111,0,0,
10564683,1,0,
10681709,0,0,
10793914,1,0,
10910850,0,0,
11018869,1,0,
11135824,0,0,
11248447,1,0,
11365135,0,0,
11477900,1,0,
11594928,0,0,
11707708,1,0,
11824868,0,0,
11934658,1,0,
12051436,0,0,
12164141,1,0,
12281321,0,0,
12394368,1,0,
12511547,0,0,
12623795,1,0,
12740789,0,0,
12850216,1,0,
12966791,0,0,
13079455,1,0,
13197225,0,0,
13310248,1,0,
13427126,0,0,
13539715,1,0,
13657124,0,0,
13765753,1,0,
13882528,0,0,
13994872,1,0,
14110434,0,0,
14223363,1,0,
14340355,0,0,
14449570,1,0,
14566084,0,0,
14678640,1,0,
14795608,0,0,
14908574,1,0,
15024609,0,0,
15133642,1,0,
15249979,0,0,
15362287,1,0,
15479618,0,0,
15592474,1,0,
15708509,0,0,
15821209,1,0,
15937911,0,0,
16048805,1,0,
16165799,0,0,
16277830,1,0,
16394883,0,0,
16507757,1,0,
16624317,0,0,
16736564,1,0,
16853403,0,0,
16965727,1,0,
17081554,0,0,
17193475,1,0,
17310514,0,0,
17423469,1,0,
17540954,0,0,
17654036,1,0,
17770468,0,0,
17881171,1,0,
17998426,0,0,
18111246,1,0,
18227931,0,0,
18340687,1,0,
18457774,0,0,
18566083,1,0,
18683182,0,0,
18795557,1,0,
18912697,0,0,
19025328,1,0,
19141802,0,0,
19254086,1,0,
19371382,0,0,
19480755,1,0,
19597662,0,0,
19710444,1,0,
19826689,0,0,
19939049,1,0,
20056226,0,0,
20165269,1,0,
20282280,0,0,
20394598,1,0,
20510920,0,0,
20623166,1,0,
20739618,0,0,
20848679,1,0,
20965388,0,0,
21078071,1,0,
21195155,0,0,
21306714,1,0,
21423535,0,0,
21531706,1,0,
21648310,0,0,
21760883,1,0,
21877772,0,0,
21989736,1,0,
22106643,0,0,
22219275,1,0,
22335172,0,0,
22446292,1,0,
22563241,0,0,
22676386,1,0,
22792860,0,0,
22904814,1,0,
23021500,0,0,
23129730,1,0,
23246795,0,0,
23359708,1,0,
23476920,0,0,
23588715,1,0,
23705170,0,0,
23814132,1,0,
23930878,0,0,
24043240,1,0,
24160228,0,0,
24273355,1,0,
24390076,0,0,
24502358,1,0,
24619382,0,0,
24728809,1,0,
24845720,0,0,
24958574,1,0,
25075562,0,0,
25187563,1,0,
25304590,0,0,
25412565,1,0,
25528922,0,0,
25641874,1,0,
25758018,0,0,
25870588,1,0,
25987692,0,0,
26099979,1,0,
26216239,0,0,
26328467,1,0,
26445110,0,0,
26557984,1,0,
26674912,0,0,
26788039,1,0,
26904894,0,0,
27015608,1,0,
27132588,0,0,
27244085,1,0,
27361189,0,0,
27474022,1,0,
27591159,0,0,
27703631,1,0,
27820340,0,0,
27929114,1,0,
28046259,0,0,
28159058,1,0,
28276118,0,0,
28389084,1,0,
28505462,0,0,
28618188,1,0,
28735727,0,0,
28844559,1,0,
28960751,0,0,
