microseconds,logic0,logic1,Trigger
64329,0,1,0
172182,1,0,0
287160,0,1,0
394241,1,0,0
510036,0,1,0
618103,1,0,0
733115,0,1,0
840151,1,0,0
953917,0,1,0
1060994,1,0,0
1174752,0,1,0
1283732,1,0,0
1398745,0,1,0
1506732,1,0,0
1621747,0,1,0
1730809,1,0,0
1846012,0,1,0
1954113,1,0,0
2069055,0,1,0
2178131,1,0,0
2293129,0,1,0
2400967,1,0,0
2516174,0,1,0
2623116,1,0,0
2736649,0,1,0
2844847,1,0,0
2960055,0,1,0
3067910,1,0,0
3182405,0,1,0
3289558,1,0,0
3404064,0,1,0
3512949,1,0,0
3627962,0,1,0
3736008,1,0,0
3851138,0,1,0
3957946,1,0,0
4073799,0,1,0
4181618,1,0,0
4296270,0,1,0
4404503,1,0,0
4518455,0,1,0
4626500,1,0,0
4741156,0,1,0
4848955,1,0,0
4963818,0,1,0
5072150,1,0,0
5187331,0,1,0
5296088,1,0,0
5410888,0,1,0
5518305,1,0,0
5632117,0,1,0
5740130,1,0,0
5853527,0,1,0
5960376,1,0,0
6074718,1,1,0
6074719,0,1,0
6182555,1,0,0
6297725,0,1,0
6405639,1,0,0
6519623,0,1,0
6627270,1,0,0
6743177,0,1,0
6850706,1,0,0
6964880,0,1,0
7072757,1,0,0
7187790,0,1,0
7295890,1,0,0
7410886,0,1,0
7518989,1,0,0
7633559,0,1,0
7740685,1,0,0
7855417,0,1,0
7963727,1,0,0
8078091,0,1,0
8186142,1,0,0
8300748,0,1,0
8407823,1,0,0
8521599,0,1,0
8628927,1,0,0
8744816,0,1,0
8852441,1,0,0
8967112,0,1,0
9074599,1,0,0
9188355,0,1,0
9295759,1,0,0
9411779,0,1,0
9519954,1,0,0
9634047,0,1,0
9741844,1,0,0
9855577,0,1,0
9963432,1,0,0
10079246,0,1,0
10187254,1,0,0
10301881,0,1,0
10408970,1,0,0
10496802,0,1,0
10604384,1,0,0
10718978,0,1,0
10826563,1,0,0
10940273,0,1,0
11048090,1,0,0
11161561,0,1,0
11270384,1,0,0
11385297,0,1,0
11493110,1,0,0
11608041,0,1,0
11716162,1,0,0
11831402,0,1,0
11939177,1,0,0
12053693,0,1,0
12161604,1,0,0
12276608,0,1,0
12385090,1,0,0
12499777,0,1,0
12607243,1,0,0
12720958,0,1,0
12829028,1,0,0
12944665,0,1,0
13052653,1,0,0
13167293,0,1,0
13275431,1,0,0
13390918,0,1,0
13498561,1,0,0
13612773,0,1,0
13720871,1,0,0
13835905,0,1,0
13942786,1,0,0
14056233,0,1,0
14164885,1,0,0
14280064,0,1,0
14387834,1,0,0
14501718,0,1,0
14608968,1,0,0
14722699,0,1,0
14831464,1,0,0
14946148,0,1,0
15053352,1,0,0
15168202,0,1,0
15275469,1,0,0
15390703,0,1,0
15498880,1,0,0
15613473,0,1,0
15721412,1,0,0
15834959,0,1,0
15942423,1,0,0
16055985,0,1,0
16164366,1,0,0
16279280,0,1,0
16387208,1,0,0
16501204,0,1,0
16608581,1,0,0
16722218,0,1,0
16831100,1,0,0
16945800,0,1,0
17053669,1,0,0
17168508,0,1,0
17277157,1,0,0
17391921,0,1,0
17499772,1,0,0
17613947,0,1,0
17721549,1,0,0
17836592,0,1,0
17944764,1,0,0
18059776,0,1,0
18168161,1,0,0
18283283,0,1,0
18391634,1,0,0
18506607,0,1,0
18613783,1,0,0
18727363,0,1,0
18834594,1,0,0
18949713,0,1,0
19057702,1,0,0
19172293,0,1,0
19279835,1,0,0
19393507,0,1,0
19501227,1,0,0
19616864,0,1,0
19724827,1,0,0
19839370,0,1,0
19946387,1,0,0
20060988,0,1,0
20169741,1,0,0
20284456,0,1,0
20392210,1,0,0
20506111,0,1,0
20613702,1,0,0
20728745,0,1,0
20836978,1,0,0
20951626,0,1,0
21059896,1,0,0
21173685,0,1,0
21282006,1,0,0
21396616,0,1,0
21504565,1,0,0
21618861,0,1,0
21726843,1,0,0
21840274,0,1,0
21948274,1,0,0
22062744,0,1,0
22170769,1,0,0
22285411,0,1,0
22392809,1,0,0
22508789,0,1,0
22616393,1,0,0
22730964,0,1,0
22838318,1,0,0
22951934,0,1,0
23059826,1,0,0
23175386,0,1,0
23283351,1,0,0
23397881,0,1,0
23505043,1,0,0
23619066,0,1,0
23727846,1,0,0
23842872,0,1,0
23950722,1,0,0
24065781,0,1,0
24174226,1,0,0
24289232,0,1,0
24397138,1,0,0
24511282,0,1,0
24618890,1,0,0
24734081,0,1,0
24841725,1,0,0
24955875,0,1,0
25063881,1,0,0
25179020,0,1,0
25287156,1,0,0
25402587,0,1,0
25510489,1,0,0
25624618,0,1,0
25732659,1,0,0
25848298,0,1,0
25956510,1,0,0
26071022,0,1,0
26179101,1,0,0
26292568,0,1,0
26401369,1,0,0
26516356,0,1,0
26624124,1,0,0
26738163,0,1,0
26845498,1,0,0
26961152,0,1,0
27068830,1,0,0
27183571,0,1,0
27291017,1,0,0
27405554,0,1,0
27513935,1,0,0
27628580,0,1,0
27736433,1,0,0
27850484,0,1,0
27957932,1,0,0
28071992,0,1,0
28180701,1,0,0
28294945,0,1,0
28402760,1,0,0
28517245,0,1,0
28624757,1,0,0
28740756,0,1,0
28848929,1,0,0
28963517,0,1,0
