microseconds,logic0,logic1,Trigger
593567,1,1,0
701544,1,0,0
710622,0,0,0
816210,1,1,0
924349,1,0,0
933638,0,0,0
1039166,0,1,0
1046435,1,1,0
1147897,1,0,0
1163919,0,0,0
1263227,0,1,0
1275667,1,1,0
1371527,1,0,0
1391679,0,0,0
1486742,0,1,0
1503833,1,1,0
1594881,1,0,0
1620438,0,0,0
1709714,0,1,0
1732917,1,1,0
1818711,1,0,0
1850036,0,0,0
1933678,0,1,0
1961585,1,1,0
2041436,1,0,0
2078757,0,0,0
2156558,0,1,0
2190076,1,1,0
2264560,1,0,0
2306546,0,0,0
2380004,0,1,0
2418510,1,1,0
2487630,1,0,0
2535612,0,0,0
2601990,0,1,0
2647515,1,1,0
2710165,1,0,0
2763243,0,0,0
2824637,0,1,0
2875506,1,1,0
2932871,1,0,0
2991938,0,0,0
3047875,0,1,0
3104129,1,1,0
3156182,1,0,0
3220583,0,0,0
3270083,0,1,0
3332845,1,1,0
3377831,1,0,0
3449235,0,0,0
3492039,0,1,0
3561004,1,1,0
3599620,1,0,0
3676771,0,0,0
3715386,0,1,0
3789153,1,1,0
3824020,1,0,0
3904939,0,0,0
3938356,0,1,0
4017140,1,1,0
4046525,1,0,0
4134361,0,0,0
4160510,0,1,0
4246337,1,1,0
4269331,1,0,0
4362852,0,0,0
4384376,0,1,0
4474771,1,1,0
4492090,1,0,0
4590959,0,0,0
4606178,0,1,0
4702840,1,1,0
4713460,1,0,0
4818098,0,0,0
4829211,0,1,0
4929941,1,1,0
4937176,1,0,0
